Music	100%	1,011,305
Speech	100%	1,010,480
Vehicle	100%	128,051
Musical instrument	100%	117,343
Plucked string instrument	100%	44,565
Singing	100%	42,493
Car	100%	41,554
Animal	100%	40,758
Outside, rural or natural	100%	35,731
Violin, fiddle	100%	28,125
Bird	100%	26,894
Drum	100%	20,246
Engine	100%	16,245
Narration, monologue	100%	15,590
Drum kit	100%	15,169
Acoustic guitar	100%	14,568
Dog	100%	13,705
Child speech, kid speaking	100%	11,816
Bass drum	100%	9,292
Rail transport	100%	9,052
Motor vehicle (road)	100%	9,044
Water	100%	8,994
Female speech, woman speaking	100%	8,513
Siren	100%	8,498
Railroad car, train wagon	100%	8,361
Tools	100%	8,107
Silence	100%	7,662
Snare drum	100%	6,842
Wind	100%	6,805
Bird vocalization, bird call, bird song	100%	6,372
Fowl	100%	6,248
Wind instrument, woodwind instrument	100%	6,083
Emergency vehicle	100%	5,730
Laughter	100%	5,696
Chirp, tweet	100%	4,633
Rapping	100%	4,496
Cheering	100%	4,380
Gunshot, gunfire	100%	4,221
Radio	100%	4,214
Cat	100%	3,964
Hi-hat	100%	3,900
Helicopter	100%	3,698
Fireworks	100%	3,051
Stream	100%	2,847
Bark	100%	2,632
Baby cry, infant cry	100%	2,390
Snoring	100%	2,334
Train horn	100%	2,275
Double bass	100%	2,274
Explosion	100%	2,274
Crowing, cock-a-doodle-doo	100%	2,093
Bleat	100%	2,078
Computer keyboard	100%	2,042
Civil defense siren	100%	1,963
Bee, wasp, etc.	100%	1,868
Bell	100%	1,844
Chainsaw	100%	1,787
Oink	100%	1,784
Tick	100%	1,746
Tabla	100%	1,729
Liquid	100%	1,721
Traffic noise, roadway noise	100%	1,694
Beep, bleep	100%	1,600
Frying (food)	100%	1,594
Whack, thwack	100%	1,563
Sink (filling or washing)	100%	1,552
Burping, eructation	100%	1,302
Fart	100%	1,231
Sneeze	100%	1,200
Aircraft engine	100%	1,155
Arrow	100%	1,072
Giggle	100%	991
Hiccup	100%	931
Cough	100%	871
Cricket	100%	859
Sawing	100%	804
Tambourine	100%	745
Pump (liquid)	100%	603
Squeak	100%	192
Male speech, man speaking	90%	17,716
Keyboard (musical)	90%	10,473
Pigeon, dove	90%	8,523
Motorboat, speedboat	90%	8,078
Female singing	90%	7,949
Brass instrument	90%	7,513
Motorcycle	90%	7,261
Choir	90%	6,709
Race car, auto racing	90%	6,574
Chicken, rooster	90%	6,352
Idling	90%	6,241
Sampler	90%	5,457
Ukulele	90%	5,292
Synthesizer	90%	5,041
Cymbal	90%	4,688
Spray	90%	3,080
Accordion	90%	2,894
Scratching (performance technique)	90%	2,890
Child singing	90%	2,644
